"Name","Platform","Genre","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating"
"NERF N-Strike","Wii","Shooter",1.09,66,13,43,7,"E10+"
"Sonic and the Black Knight","Wii","Platform",1.09,54,51,68,198,"E10+"
"Namco Museum Battle Collection","PSP","Misc",1.08,73,28,71,9,"E10+"
"Plants vs. Zombies: Garden Warfare","X360","Shooter",1.08,69,6,72,121,"E10+"
"Skylanders Giants","PS3","Action",1.06,77,21,62,18,"E10+"
"Sega Superstars Tennis","Wii","Sports",1.05,71,24,69,16,"E10+"
"LEGO The Lord of the Rings","PS3","Action",1.05,82,16,82,85,"E10+"
"Dance Dance Revolution SuperNOVA","PS2","Simulation",1.04,73,25,86,6,"E10+"
"Sonic the Hedgehog","X360","Platform",1.04,46,38,43,455,"E10+"
"LEGO Pirates of the Caribbean: The Video Game","X360","Action",1.03,73,54,69,31,"E10+"
"Guinness World Records: The Videogame","Wii","Action",1.03,67,12,69,8,"E10+"
"LEGO Indiana Jones: The Original Adventures","PS3","Action",1.03,77,36,76,30,"E10+"
"Sonic Unleashed","PS3","Platform",1.02,54,24,78,130,"E10+"
"Disney Universe","Wii","Action",1.02,61,11,59,5,"E10+"
"Dance on Broadway","Wii","Misc",1.02,48,6,32,4,"E10+"
"LEGO Indiana Jones 2: The Adventure Continues","X360","Action",1.02,71,41,73,25,"E10+"
"Skylanders SWAP Force","PS3","Platform",1.02,83,31,52,33,"E10+"
"Rayman Legends","PS4","Platform",1.01,90,16,84,525,"E10+"
"Pokken Tournament","WiiU","Fighting",1.01,76,74,79,273,"E10+"
"NERF N-Strike Elite","Wii","Shooter",1,67,12,44,6,"E10+"
"Rayman Origins","PS3","Platform",1,87,43,83,238,"E10+"
"Just Dance 2014","X360","Misc",0.99,79,16,77,33,"E10+"
"Shadow The Hedgehog","GC","Platform",0.99,51,22,65,120,"E10+"
"Disney Infinity","PS3","Action",0.97,75,21,58,47,"E10+"
"Band Hero","Wii","Misc",0.97,79,20,65,15,"E10+"
"Skylanders: Spyro's Adventure","X360","Action",0.97,78,35,51,53,"E10+"
"LEGO Harry Potter: Years 5-7","X360","Action",0.97,77,35,78,39,"E10+"
"LEGO Star Wars II: The Original Trilogy","GC","Action",0.97,84,25,90,16,"E10+"
"Sonic Unleashed","X360","Platform",0.95,60,50,77,238,"E10+"
"LEGO Pirates of the Caribbean: The Video Game","PS3","Action",0.95,73,42,70,34,"E10+"
"Star Fox 64 3D","3DS","Shooter",0.94,81,65,81,231,"E10+"
"Skylanders: Spyro's Adventure","PS3","Action",0.94,77,18,47,42,"E10+"
"Tony Hawk: RIDE","Wii","Sports",0.94,47,15,44,21,"E10+"
"The Sims 2","DS","Simulation",0.93,70,13,60,24,"E10+"
"Kingdom Hearts Re:coded","DS","Role-Playing",0.93,66,58,69,76,"E10+"
"Lego Batman 3: Beyond Gotham","PS4","Action",0.93,73,43,70,75,"E10+"
"Wipeout: In The Zone","X360","Misc",0.93,39,5,55,8,"E10+"
"The LEGO Movie Videogame","PS3","Action",0.93,80,5,67,12,"E10+"
"Wii Play: Motion","Wii","Misc",0.92,60,34,60,16,"E10+"
"Kung Fu Panda","Wii","Action",0.91,70,20,66,7,"E10+"
"LEGO Harry Potter: Years 5-7","PS3","Action",0.91,76,27,82,48,"E10+"
"Burnout Revenge","PS2","Racing",0.9,90,52,87,114,"E10+"
"LEGO Jurassic World","PS4","Action",0.9,70,46,69,80,"E10+"
"LEGO Marvel Super Heroes","3DS","Action",0.9,61,4,51,11,"E10+"
"LEGO Indiana Jones 2: The Adventure Continues","PS3","Action",0.89,70,25,70,16,"E10+"
"Kingdom Hearts Re: Chain of Memories","PS2","Role-Playing",0.87,68,20,71,105,"E10+"
"Michael Jackson: The Experience","X360","Misc",0.87,63,31,67,29,"E10+"
"Ghostbusters: The Video Game","Wii","Action",0.86,76,29,84,28,"E10+"
"Endless Ocean: Blue World","Wii","Simulation",0.86,76,42,84,26,"E10+"
"Burnout Legends","PSP","Racing",0.84,86,53,83,108,"E10+"
"Sly 3: Honor Among Thieves","PS2","Platform",0.83,83,59,87,130,"E10+"
"Need for Speed: Nitro","Wii","Racing",0.83,69,41,73,38,"E10+"
"Sid Meier's Civilization Revolution","X360","Strategy",0.83,84,55,77,171,"E10+"
"Ben 10: Alien Force","Wii","Action",0.8,45,6,77,11,"E10+"
"Rayman Raving Rabbids 2","DS","Misc",0.8,57,8,69,15,"E10+"
"Need for Speed Rivals","X360","Racing",0.79,76,12,53,107,"E10+"
"Band Hero","X360","Misc",0.79,76,52,49,30,"E10+"
"The Sims 2: Castaway","PSP","Simulation",0.79,64,5,72,18,"E10+"
"Invizimals","PSP","Strategy",0.79,69,32,72,19,"E10+"
"Golden Sun: Dark Dawn","DS","Role-Playing",0.78,79,63,80,86,"E10+"
"Star Wars The Clone Wars: Jedi Alliance","DS","Action",0.78,68,10,77,32,"E10+"
"Sid Meier's Civilization Revolution","PS3","Strategy",0.78,85,39,76,87,"E10+"
"Rayman Origins","X360","Platform",0.78,87,55,81,209,"E10+"
"Worms: Open Warfare","PSP","Strategy",0.77,70,22,65,18,"E10+"
"Sonic Unleashed","PS2","Platform",0.76,66,5,66,49,"E10+"
"Portal 2","PC","Shooter",0.76,95,52,87,5999,"E10+"
"Harry Potter and the Half-Blood Prince","Wii","Action",0.75,60,35,59,8,"E10+"
"Professor Layton and the Azran Legacy","3DS","Puzzle",0.75,81,58,78,86,"E10+"
"LEGO Batman 2: DC Super Heroes","3DS","Action",0.75,72,6,51,25,"E10+"
"Raving Rabbids: Travel in Time","Wii","Adventure",0.75,62,24,75,14,"E10+"
"Final Fantasy Tactics A2: Grimoire of the Rift","DS","Role-Playing",0.75,80,47,68,106,"E10+"
"Band Hero","PS3","Misc",0.74,76,45,56,9,"E10+"
"Midnight Club 3: DUB Edition","XB","Racing",0.74,84,53,73,40,"E10+"
"LEGO Marvel Super Heroes","WiiU","Action",0.74,82,8,79,71,"E10+"
"NHL 11","X360","Sports",0.73,88,49,76,71,"E10+"
"LEGO Marvel's Avengers","PS4","Action",0.73,71,70,69,87,"E10+"
"Just Dance 2015","WiiU","Misc",0.73,75,6,65,26,"E10+"
"LEGO Dimensions","PS4","Action",0.73,80,53,70,65,"E10+"
"Star Wars Episode III: Revenge of the Sith","GBA","Action",0.72,73,13,74,12,"E10+"
"Blur","PS3","Racing",0.72,81,58,81,86,"E10+"
"Ben 10: Protector of Earth","PSP","Action",0.71,60,4,71,23,"E10+"
"Skylanders: Trap Team","WiiU","Action",0.7,86,4,70,18,"E10+"
"Lego Star Wars: The Force Awakens","PS4","Action",0.7,78,61,74,91,"E10+"
"NHL 12","X360","Sports",0.7,86,56,69,72,"E10+"
"LEGO Rock Band","Wii","Misc",0.69,70,15,67,6,"E10+"
"Plants vs. Zombies: Garden Warfare","XOne","Shooter",0.69,76,65,73,438,"E10+"
"Need for Speed Rivals","XOne","Racing",0.69,75,18,57,175,"E10+"
"The Sly Collection","PS3","Platform",0.68,85,46,87,172,"E10+"
"Kirby's Dream Collection: Special Edition","Wii","Action",0.67,82,6,87,37,"E10+"
"The LEGO Movie Videogame","PS4","Action",0.67,71,31,70,98,"E10+"
"Final Fantasy Crystal Chronicles: Ring of Fates","DS","Role-Playing",0.66,77,41,71,25,"E10+"
"Thrillville","PS2","Strategy",0.66,69,32,28,52,"E10+"
